"Step","56gn10wr02bs4ep12accelerator - train/loss","56gn10wr02bs4ep12accelerator - train/loss__MIN","56gn10wr02bs4ep12accelerator - train/loss__MAX","224gn03wr03bs4ep8accelerator - train/loss","224gn03wr03bs4ep8accelerator - train/loss__MIN","224gn03wr03bs4ep8accelerator - train/loss__MAX","112gn03wr03bs4ep8accelerator - train/loss","112gn03wr03bs4ep8accelerator - train/loss__MIN","112gn03wr03bs4ep8accelerator - train/loss__MAX","28gn1wr02bs4ep20accelerator - train/loss","28gn1wr02bs4ep20accelerator - train/loss__MIN","28gn1wr02bs4ep20accelerator - train/loss__MAX"
"468","","","","0.0732","0.0732","0.0732","","","","","",""
"470","","","","0.1336","0.1336","0.1336","","","","","",""
"472","","","","0.0588","0.0588","0.0588","","","","","",""
"474","","","","0.0367","0.0367","0.0367","","","","","",""
"476","","","","0.0705","0.0705","0.0705","","","","","",""
"478","","","","0.0882","0.0882","0.0882","","","","","",""
"480","","","","0.1065","0.1065","0.1065","","","","","",""
"482","","","","0.1104","0.1104","0.1104","","","","","",""
"484","","","","0.1138","0.1138","0.1138","","","","","",""
"486","","","","0.0841","0.0841","0.0841","","","","","",""
"488","","","","0.0482","0.0482","0.0482","","","","","",""
"490","","","","0.1045","0.1045","0.1045","","","","","",""
"492","","","","0.0875","0.0875","0.0875","","","","","",""
"494","","","","0.0767","0.0767","0.0767","","","","","",""
"496","","","","0.1075","0.1075","0.1075","","","","","",""
"498","","","","0.0671","0.0671","0.0671","","","","","",""
"500","","","","0.0374","0.0374","0.0374","","","","","",""
"502","","","","0.0992","0.0992","0.0992","","","","","",""
"504","","","","0.0306","0.0306","0.0306","","","","","",""
"506","","","","0.0431","0.0431","0.0431","","","","","",""
"508","","","","0.0938","0.0938","0.0938","","","","","",""
"510","","","","0.0762","0.0762","0.0762","","","","","",""
"512","","","","0.0352","0.0352","0.0352","","","","","",""
"514","","","","0.0495","0.0495","0.0495","","","","","",""
"516","","","","0.0296","0.0296","0.0296","","","","","",""
"518","","","","0.0436","0.0436","0.0436","","","","","",""
"520","","","","0.0351","0.0351","0.0351","","","","","",""
"522","","","","0.1125","0.1125","0.1125","","","","","",""
"524","","","","0.0626","0.0626","0.0626","","","","","",""
"526","","","","0.0601","0.0601","0.0601","","","","","",""
"528","","","","0.0305","0.0305","0.0305","","","","","",""
"530","","","","0.043","0.043","0.043","","","","","",""
"532","","","","0.0371","0.0371","0.0371","","","","","",""
"534","","","","0.0524","0.0524","0.0524","","","","","",""
"536","","","","0.0354","0.0354","0.0354","","","","","",""
"538","","","","0.0986","0.0986","0.0986","","","","","",""
"540","","","","0.0559","0.0559","0.0559","","","","","",""
"542","","","","0.0675","0.0675","0.0675","","","","","",""
"544","","","","0.0799","0.0799","0.0799","","","","","",""
"546","","","","0.0332","0.0332","0.0332","","","","","",""
"548","","","","0.0548","0.0548","0.0548","","","","","",""
"550","","","","0.0419","0.0419","0.0419","","","","","",""
"552","","","","0.0353","0.0353","0.0353","","","","","",""
"554","","","","0.0856","0.0856","0.0856","","","","","",""
"556","","","","0.0288","0.0288","0.0288","","","","","",""
"558","","","","0.0281","0.0281","0.0281","","","","","",""
"560","","","","0.0544","0.0544","0.0544","","","","","",""
"562","","","","0.0279","0.0279","0.0279","","","","","",""
"564","","","","0.0199","0.0199","0.0199","","","","","",""
"566","","","","0.0232","0.0232","0.0232","","","","","",""
"568","","","","0.0505","0.0505","0.0505","","","","","",""
"570","","","","0.0282","0.0282","0.0282","","","","","",""
"572","","","","0.0395","0.0395","0.0395","","","","","",""
"574","","","","0.045","0.045","0.045","","","","","",""
"576","","","","0.0478","0.0478","0.0478","","","","","",""
"578","","","","0.0358","0.0358","0.0358","","","","","",""
"580","","","","0.0363","0.0363","0.0363","","","","","",""
"582","","","","0.0217","0.0217","0.0217","","","","","",""
"584","","","","0.0499","0.0499","0.0499","","","","","",""
"586","","","","0.0439","0.0439","0.0439","","","","","",""
"588","","","","0.025","0.025","0.025","","","","","",""
"590","","","","0.0444","0.0444","0.0444","","","","","",""
"592","","","","0.0224","0.0224","0.0224","","","","","",""
"594","","","","0.0206","0.0206","0.0206","","","","","",""
"596","","","","0.0397","0.0397","0.0397","","","","","",""
"598","","","","0.0359","0.0359","0.0359","","","","","",""
"600","","","","0.0428","0.0428","0.0428","","","","","",""
"602","","","","0.0441","0.0441","0.0441","","","","","",""
"604","","","","0.0403","0.0403","0.0403","","","","","",""
"606","","","","0.0305","0.0305","0.0305","","","","","",""
"608","","","","0.0264","0.0264","0.0264","","","","","",""
"610","","","","0.0446","0.0446","0.0446","","","","","",""
"612","","","","0.0891","0.0891","0.0891","","","","","",""
"614","","","","0.0846","0.0846","0.0846","","","","","",""
"616","","","","0.028","0.028","0.028","","","","","",""
"618","","","","0.0319","0.0319","0.0319","","","","","",""
"620","","","","0.0527","0.0527","0.0527","","","","","",""
"622","","","","0.0404","0.0404","0.0404","","","","","",""
"624","","","","0.0219","0.0219","0.0219","","","","","",""
"626","","","","0.0427","0.0427","0.0427","","","","","",""
"628","","","","0.0414","0.0414","0.0414","","","","","",""
"630","","","","0.0338","0.0338","0.0338","","","","","",""
"632","","","","0.059","0.059","0.059","","","","","",""
"634","","","","0.0756","0.0756","0.0756","","","","","",""
"636","","","","0.0711","0.0711","0.0711","","","","","",""
"638","","","","0.05","0.05","0.05","","","","","",""
"640","","","","0.0241","0.0241","0.0241","","","","","",""
"642","","","","0.0515","0.0515","0.0515","","","","","",""
"644","","","","0.0552","0.0552","0.0552","","","","","",""
"646","","","","0.045","0.045","0.045","","","","","",""
"648","","","","0.0331","0.0331","0.0331","","","","","",""
"650","","","","0.0304","0.0304","0.0304","","","","","",""
"652","","","","0.025","0.025","0.025","","","","","",""
"654","","","","0.0352","0.0352","0.0352","","","","","",""
"656","","","","0.068","0.068","0.068","","","","","",""
"658","","","","0.0326","0.0326","0.0326","","","","","",""
"660","","","","0.0832","0.0832","0.0832","","","","","",""
"662","","","","0.0762","0.0762","0.0762","","","","","",""
"664","","","","0.0566","0.0566","0.0566","","","","","",""
"666","","","","0.0449","0.0449","0.0449","","","","","",""
"668","","","","0.0227","0.0227","0.0227","","","","","",""
"670","","","","0.0424","0.0424","0.0424","","","","","",""
"672","","","","0.015","0.015","0.015","","","","","",""
"674","","","","0.0241","0.0241","0.0241","","","","","",""
"676","","","","0.0327","0.0327","0.0327","","","","","",""
"678","","","","0.0339","0.0339","0.0339","","","","","",""
"680","","","","0.0199","0.0199","0.0199","","","","","",""
"682","","","","0.0692","0.0692","0.0692","","","","","",""
"684","","","","0.022","0.022","0.022","","","","","",""
"686","","","","0.0186","0.0186","0.0186","","","","","",""
"688","","","","0.0321","0.0321","0.0321","","","","","",""
"690","","","","0.0282","0.0282","0.0282","","","","","",""
"692","","","","0.0175","0.0175","0.0175","","","","","",""
"694","","","","0.0284","0.0284","0.0284","","","","","",""
"696","","","","0.0313","0.0313","0.0313","","","","","",""
"698","","","","0.0201","0.0201","0.0201","","","","","",""
"700","","","","0.0185","0.0185","0.0185","","","","","",""
"702","","","","0.0274","0.0274","0.0274","","","","","",""
"704","","","","0.0325","0.0325","0.0325","","","","","",""
"706","","","","0.0236","0.0236","0.0236","","","","","",""
"708","","","","0.0349","0.0349","0.0349","","","","","",""
"710","","","","0.0152","0.0152","0.0152","","","","","",""
"712","","","","0.0196","0.0196","0.0196","","","","","",""
"714","","","","0.0267","0.0267","0.0267","","","","","",""
"716","","","","0.0171","0.0171","0.0171","","","","","",""
"718","","","","0.0244","0.0244","0.0244","","","","","",""
"720","","","","0.0353","0.0353","0.0353","","","","","",""
"722","","","","0.0182","0.0182","0.0182","","","","","",""
"724","","","","0.0172","0.0172","0.0172","","","","","",""
"726","","","","0.0285","0.0285","0.0285","","","","","",""
"728","","","","0.0192","0.0192","0.0192","","","","","",""
"730","","","","0.0265","0.0265","0.0265","","","","","",""
"732","","","","0.0326","0.0326","0.0326","","","","","",""
"734","","","","0.0308","0.0308","0.0308","","","","","",""
"736","","","","0.0199","0.0199","0.0199","","","","","",""
"738","","","","0.024","0.024","0.024","","","","","",""
"740","","","","0.0275","0.0275","0.0275","","","","","",""
"742","","","","0.0312","0.0312","0.0312","","","","","",""
"744","","","","0.036","0.036","0.036","","","","","",""
"746","","","","0.0335","0.0335","0.0335","","","","","",""
"748","","","","0.022","0.022","0.022","","","","","",""
"750","","","","0.0229","0.0229","0.0229","","","","","",""
"752","","","","0.0273","0.0273","0.0273","","","","","",""
"754","","","","0.0267","0.0267","0.0267","","","","","",""
"756","","","","0.0297","0.0297","0.0297","","","","","",""
"758","","","","0.0325","0.0325","0.0325","","","","","",""
"760","","","","0.0316","0.0316","0.0316","","","","","",""
"762","","","","0.0298","0.0298","0.0298","","","","","",""
"764","","","","0.0351","0.0351","0.0351","","","","","",""
"766","","","","0.018","0.018","0.018","","","","","",""
"768","","","","0.0317","0.0317","0.0317","","","","","",""
"770","","","","0.0319","0.0319","0.0319","","","","","",""
"772","","","","0.0229","0.0229","0.0229","","","","","",""
"774","","","","0.0268","0.0268","0.0268","","","","","",""
"776","","","","0.0165","0.0165","0.0165","","","","","",""
"778","","","","0.0201","0.0201","0.0201","","","","","",""
"780","","","","0.0417","0.0417","0.0417","","","","","",""
"782","","","","0.0365","0.0365","0.0365","","","","","",""
"784","","","","0.0152","0.0152","0.0152","","","","","",""
"786","","","","0.0156","0.0156","0.0156","","","","","",""
"788","","","","0.0161","0.0161","0.0161","","","","","",""
"790","","","","0.0212","0.0212","0.0212","","","","","",""
"792","","","","0.0223","0.0223","0.0223","","","","","",""
"794","","","","0.0121","0.0121","0.0121","","","","","",""
"796","","","","0.0254","0.0254","0.0254","","","","","",""
"798","","","","0.0306","0.0306","0.0306","","","","","",""
"800","","","","0.0165","0.0165","0.0165","","","","","",""
"802","","","","0.0245","0.0245","0.0245","","","","","",""
"804","","","","0.012","0.012","0.012","","","","","",""
"806","","","","0.0133","0.0133","0.0133","","","","","",""
"808","","","","0.0154","0.0154","0.0154","","","","","",""
"810","","","","0.0113","0.0113","0.0113","","","","","",""
"812","","","","0.0108","0.0108","0.0108","","","","","",""
"814","","","","0.0143","0.0143","0.0143","","","","","",""
"816","","","","0.0114","0.0114","0.0114","","","","","",""
"818","","","","0.0139","0.0139","0.0139","","","","","",""
"820","","","","0.0149","0.0149","0.0149","","","","","",""
"822","","","","0.0132","0.0132","0.0132","","","","","",""
"824","","","","0.0147","0.0147","0.0147","","","","","",""
"826","","","","0.0144","0.0144","0.0144","","","","","",""
"828","","","","0.0184","0.0184","0.0184","","","","","",""
"830","","","","0.0101","0.0101","0.0101","","","","","",""
"832","","","","0.0212","0.0212","0.0212","","","","","",""
"834","","","","0.0184","0.0184","0.0184","","","","","",""
"836","","","","0.0107","0.0107","0.0107","","","","","",""
"838","","","","0.0175","0.0175","0.0175","","","","","",""
"840","","","","0.0453","0.0453","0.0453","","","","","",""
"842","","","","0.0196","0.0196","0.0196","","","","","",""
"844","","","","0.0111","0.0111","0.0111","","","","","",""
"846","","","","0.0134","0.0134","0.0134","","","","","",""
"848","","","","0.0198","0.0198","0.0198","","","","","",""
"850","","","","0.0262","0.0262","0.0262","","","","","",""
"852","","","","0.0222","0.0222","0.0222","","","","","",""
"854","","","","0.0195","0.0195","0.0195","","","","","",""
"856","","","","0.0267","0.0267","0.0267","","","","","",""
"858","","","","0.017","0.017","0.017","","","","","",""
"860","","","","0.0125","0.0125","0.0125","","","","","",""
"862","","","","0.0138","0.0138","0.0138","","","","","",""
"864","","","","0.0198","0.0198","0.0198","","","","","",""
"866","","","","0.012","0.012","0.012","","","","","",""
"868","","","","0.0114","0.0114","0.0114","","","","","",""
"870","","","","0.0118","0.0118","0.0118","","","","","",""
"872","","","","0.014","0.014","0.014","","","","","",""
"874","","","","0.0267","0.0267","0.0267","","","","","",""
"876","","","","0.0167","0.0167","0.0167","","","","","",""
"878","","","","0.0151","0.0151","0.0151","","","","","",""
"880","","","","0.0087","0.0087","0.0087","","","","","",""
"882","","","","0.0136","0.0136","0.0136","","","","","",""
"884","","","","0.0099","0.0099","0.0099","","","","","",""
"886","","","","0.0149","0.0149","0.0149","","","","","",""
"888","","","","0.0262","0.0262","0.0262","","","","","",""
"890","","","","0.016","0.016","0.016","","","","","",""
"892","","","","0.0193","0.0193","0.0193","","","","","",""
"894","","","","0.0171","0.0171","0.0171","","","","","",""
